PROC_REA,Nome_Regiao,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
303010037,Norte,163,2028,8,12608529.0,9771926.0,13491497.0
303010037,Norte,164,2028,9,12564452.0,9789985.0,13432286.0
303010037,Norte,165,2028,10,12517521.0,9802559.0,13372774.0
303010037,Norte,166,2028,11,12471503.0,9809293.0,13316245.0
303010037,Norte,167,2028,12,12424895.0,9813877.0,13262356.0
303010037,Norte,168,2029,1,14379109.0,10930728.0,17023260.0
303010037,Norte,169,2029,2,14970829.0,11034018.0,17082782.0
303010037,Norte,170,2029,3,15356223.0,11203546.0,17021052.0
303010037,Norte,171,2029,4,15527313.0,11358465.0,16930942.0
303010037,Norte,172,2029,5,15577980.0,11472951.0,16851846.0
303010037,Norte,173,2029,6,15569544.0,11550062.0,16781600.0
303010037,Norte,174,2029,7,15533505.0,11602170.0,16711936.0
303010037,Norte,175,2029,8,15485581.0,11634257.0,16643004.0
303010037,Norte,176,2029,9,15432301.0,11655868.0,16574135.0
303010037,Norte,177,2029,10,15376212.0,11668258.0,16506339.0
303010037,Norte,178,2029,11,15317932.0,11675315.0,16440073.0
303010037,Norte,179,2029,12,15261822.0,11679168.0,16377885.0
303010037,Norte,180,2030,1,14147706.0,11989382.0,15573910.0
303010037,Norte,181,2030,2,14507595.0,12060781.0,15622433.0
303010037,Norte,182,2030,3,14732515.0,12169317.0,15603286.0
303010037,Norte,183,2030,4,14832779.0,12267125.0,15569395.0
303010037,Norte,184,2030,5,14864952.0,12338155.0,15540054.0
303010037,Norte,185,2030,6,14864357.0,12383846.0,15512986.0
303010037,Norte,186,2030,7,14847554.0,12414590.0,15484665.0
303010037,Norte,187,2030,8,14823898.0,12432671.0,15455336.0
303010037,Norte,188,2030,9,14796130.0,12443346.0,15424031.0
303010037,Norte,189,2030,10,14766358.0,12449423.0,15393936.0
303010037,Norte,190,2030,11,14736957.0,12453366.0,15363050.0
303010037,Norte,191,2030,12,14708314.0,12454696.0,15335442.0
303010037,Norte,192,2031,1,17977092.0,14300721.0,20359878.0
303010037,Norte,193,2031,2,18640596.0,14429001.0,20477806.0
303010037,Norte,194,2031,3,19051334.0,14609365.0,20473706.0
303010037,Norte,195,2031,4,19235138.0,14771118.0,20440812.0
303010037,Norte,196,2031,5,19298714.0,14882257.0,20410970.0
303010037,Norte,197,2031,6,19303682.0,14956444.0,20380898.0
303010037,Norte,198,2031,7,19278772.0,15003474.0,20345360.0
303010037,Norte,199,2031,8,19239100.0,15030856.0,20304422.0
303010037,Norte,200,2031,9,19193138.0,15046288.0,20259626.0
303010037,Norte,201,2031,10,19143634.0,15054957.0,20214888.0
303010037,Norte,202,2031,11,19094734.0,15057657.0,20170828.0
303010037,Norte,203,2031,12,19045338.0,15058432.0,20128206.0
303010037,Norte,204,2032,1,17288072.0,15068947.0,18546862.0
303010037,Norte,205,2032,2,17689104.0,15152443.0,18628974.0
303010037,Norte,206,2032,3,17932984.0,15267731.0,18644046.0
303010037,Norte,207,2032,4,18041844.0,15366303.0,18640632.0
303010037,Norte,208,2032,5,18082704.0,15436275.0,18637896.0
303010037,Norte,209,2032,6,18088256.0,15479616.0,18630502.0
303010037,Norte,210,2032,7,18078116.0,15506951.0,18618886.0
303010037,Norte,211,2032,8,18059438.0,15524026.0,18604472.0
303010037,Norte,212,2032,9,18035170.0,15531845.0,18585782.0
303010037,Norte,213,2032,10,18008598.0,15535283.0,18566614.0
303010037,Norte,214,2032,11,17981586.0,15536556.0,18547076.0
303010037,Norte,215,2032,12,17955026.0,15535519.0,18529114.0
303010037,Norte,216,2033,1,20876356.0,17642908.0,22623112.0
303010037,Norte,217,2033,2,21500750.0,17771246.0,22766130.0
