PA_PROC_ID,time_idx,Ano,Mes,Valor_Previsto_Mediana,Valor_Melhor_Cenario,Valor_Pior_Cenario
212010050,211,2032,8,27920998.0,27528812.0,27868622.0
212010050,212,2032,9,27926076.0,27543530.0,27866584.0
212010050,213,2032,10,27928746.0,27555050.0,27863992.0
212010050,214,2032,11,27930058.0,27562080.0,27860426.0
212010050,215,2032,12,27930040.0,27566532.0,27854826.0
212010050,216,2033,1,28193992.0,27729758.0,28255922.0
212010050,217,2033,2,28229428.0,27812602.0,28278198.0
212010050,218,2033,3,28249500.0,27867118.0,28270066.0
212010050,219,2033,4,28260546.0,27901100.0,28254810.0
212010050,220,2033,5,28267400.0,27923264.0,28239516.0
212010050,221,2033,6,28272690.0,27939164.0,28227562.0
212010050,222,2033,7,28277484.0,27952428.0,28220042.0
212010050,223,2033,8,28282220.0,27964916.0,28215960.0
212010050,224,2033,9,28286222.0,27976912.0,28214920.0
212010050,225,2033,10,28288600.0,27986080.0,28213388.0
212010050,226,2033,11,28289374.0,27992396.0,28210194.0
212010050,227,2033,12,28289812.0,27996148.0,28206072.0
212010050,228,2034,1,28135936.0,27900484.0,28157434.0
212010050,229,2034,2,28153406.0,27943316.0,28168050.0
212010050,230,2034,3,28162762.0,27970790.0,28162784.0
212010050,231,2034,4,28167832.0,27987846.0,28153984.0
212010050,232,2034,5,28170944.0,27998722.0,28145870.0
212010050,233,2034,6,28173040.0,28006456.0,28139330.0
212010050,234,2034,7,28175440.0,28013092.0,28135158.0
212010050,235,2034,8,28177664.0,28019128.0,28133280.0
212010050,236,2034,9,28179740.0,28025526.0,28132918.0
212010050,237,2034,10,28180902.0,28030182.0,28132200.0
212010050,238,2034,11,28181456.0,28033350.0,28130826.0
212010050,239,2034,12,28181450.0,28035264.0,28128830.0
301010048,120,2025,1,79488800.0,65809156.0,91553864.0
301010048,121,2025,2,80989410.0,67763910.0,93016220.0
301010048,122,2025,3,82285830.0,69459240.0,93790600.0
301010048,123,2025,4,83370830.0,70920160.0,94130350.0
301010048,124,2025,5,84251224.0,72116520.0,94191090.0
301010048,125,2025,6,84944190.0,73080240.0,94120560.0
301010048,126,2025,7,85493690.0,73888660.0,94006010.0
301010048,127,2025,8,85953410.0,74614200.0,93896940.0
301010048,128,2025,9,86301490.0,75249660.0,93778660.0
301010048,129,2025,10,86540450.0,75717760.0,93625740.0
301010048,130,2025,11,86698080.0,76034110.0,93435180.0
301010048,131,2025,12,86801980.0,76243580.0,93226184.0
301010048,132,2026,1,89953720.0,77213090.0,100062504.0
301010048,133,2026,2,91707890.0,79625780.0,101506420.0
301010048,134,2026,3,93070760.0,81542240.0,102086720.0
301010048,135,2026,4,94069460.0,83013180.0,102205020.0
301010048,136,2026,5,94793650.0,84095840.0,102088110.0
301010048,137,2026,6,95325180.0,84906570.0,101915220.0
301010048,138,2026,7,95722800.0,85539230.0,101745656.0
301010048,139,2026,8,96045730.0,86102830.0,101611330.0
301010048,140,2026,9,96287670.0,86582430.0,101500380.0
301010048,141,2026,10,96442780.0,86925960.0,101376960.0
301010048,142,2026,11,96532640.0,87156400.0,101210870.0
301010048,143,2026,12,96594330.0,87301180.0,101045460.0
301010048,144,2027,1,91640160.0,83446330.0,97523730.0
301010048,145,2027,2,92743800.0,85026120.0,98325840.0
301010048,146,2027,3,93588936.0,86284140.0,98608450.0
301010048,147,2027,4,94184950.0,87227640.0,98616720.0
301010048,148,2027,5,94605020.0,87906900.0,98507600.0
301010048,149,2027,6,94906560.0,88402490.0,98375390.0
301010048,150,2027,7,95129224.0,88781550.0,98261430.0
